UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
102377,2,"R",371231,"R",2425,"R",210,"R",1400,"R",842,"Z",0,"Z",0,"R",372631,"R",3477,"R",376108,"R",16025,"R",82,"R",16107,1,"R",332,"R",87,"R",5,"R",796114,1,"R",146528,"R",59000,"R",686121,"R",63000,"R",808121,"R",77000,"R",83000,"R",160000,"R",1910763,1764235
102395,2,"R",10000,"R",19805,"R",20,"R",120,"R",0,"R",465,"R",34500,"R",10585,"R",54325,"R",64910,"R",928,"R",2,"R",930,1,"R",185,"R",87,"R",0,"R",69451,1,"R",19517,"R",6185,"R",39237,"R",5079,"R",50501,"R",0,"R",6822,"R",6822,"R",146291,126774
102429,2,"R",103487,"R",423,"R",8,"R",4794,"R",0,"R",124,"R",431,"R",108405,"R",862,"R",109267,"R",10550,"R",6861,"R",17411,1,"R",89,"R",85,"R",4,"R",450590,1,"R",164435,"R",43036,"R",11714,"R",15200,"R",69950,"R",0,"R",14236,"R",14236,"R",699211,534776
102553,2,"R",605392,"R",626100,"R",226,"R",507984,"R",7554,"R",17565,"R",77130,"R",1130941,"R",711010,"R",1841951,"R",87624,"R",169425,"R",257049,1,"R",11732,"R",7202,"R",4,"R",3247312,1,"R",1524771,"R",367088,"R",2454579,"R",23665,"R",2845332,"R",3066,"R",281999,"R",285065,"R",7902480,6377709
102580,2,"R",29066,"R",0,"R",0,"R",697,"R",0,"Z",0,"R",0,"R",29763,"R",0,"R",29763,"R",29763,"R",0,"R",29763,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
102614,2,"R",533679,"R",324260,"R",175,"R",226884,"R",88497,"R",222847,"R",30490,"R",983410,"R",443422,"R",1426832,"R",21279,"R",11939,"R",33218,1,"R",3435,"R",3300,"R",1,"R",2574949,1,"R",1201042,"R",200281,"R",2127634,"R",4759,"R",2332674,"R",0,"R",340235,"R",340235,"R",6448900,5247858
102632,2,"R",153884,"R",166339,"R",126,"R",8340,"R",8450,"R",3695,"R",46192,"R",165919,"R",221107,"R",387026,"R",14774,"R",31705,"R",46479,1,"R",924,"R",709,"R",1,"R",744274,1,"R",391491,"R",21273,"R",135478,"R",7354,"R",164105,"R",21363,"R",131885,"R",153248,"R",1453118,1061627
102845,1,"A",,"R",0,"R",6,"A",,"R",0,"A",,"R",0,"A",,"R",6,"R",6,"A",,"R",6,"R",6,2,"A",,"A",,"R",0,"R",189800,2,"Z",0,"R",0,"R",145677,"R",4089,"R",149766,"R",250,"R",0,"R",250,"R",339816,339816
103501,2,"R",1105,"R",0,"R",1,"R",6,"R",0,"R",25,"R",0,"R",1136,"R",1,"R",1137,"R",0,"R",16470,"R",16470,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
103945,2,"R",1264,"R",0,"R",0,"R",186,"R",0,"R",21,"R",0,"R",1471,"R",0,"R",1471,"R",796,"R",0,"R",796,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
