UNITID,CIPTUIT1,CHG1PY0,CHG1PY1,CHG1PY2,CHG1PY3
236018,.,11500,11500,11500,13125
236212,.,29004,31009,32465,33526
236531,.,14726,14726,11781,11781
236744,.,13300,13200,13300,13300
237127,.,11500,11500,11500,11500
237145,.,2600,2600,2600,2600
237303,.,9100,9100,9100,9100
237321,.,15230,15290,15290,15290
237473,.,5034,5604,6010,6024
237491,.,3072,3162,3394,3484
237543,.,3200,3602,3685,3200
237561,.,3945,3795,3795,3925
237570,.,17100,17590,17622,18902
237613,.,11217,11217,11217,11800
237729,.,.,6785,7350,7685
237844,.,2800,2800,2500,2500
237905,6000,.,.,.,.
238005,.,20000,20000,20000,20000
238096,.,4175,3655,4281,4281
238166,.,16533,16533,16533,16533
238175,.,16533,16533,16533,16533
238786,.,13037,13037,14570,14570
238810,.,11900,11900,11900,11900
239877,.,14900,14900,14900,14900
240240,.,14000,13800,14500,14500
240709,.,14375,15375,16100,17000
240718,.,29250,29250,29250,30127
240879,.,8723,8723,9100,9125
240985,.,11090,9690,13200,13300
241182,.,9585,11583,11583,11631
241906,.,9094,9075,9075,8500
242316,.,7775,7885,7925,7980
242413,.,6905,6905,6905,7005
242422,.,9875,9995,9995,9995
242750,.,9385,9675,9820,9895
242820,.,11251,11305,11458,11549
242945,.,7400,7400,7400,7400
242954,.,7400,7400,7400,7400
243072,.,14010,14010,13985,13985
243799,.,13800,13800,13800,13800
244279,.,16900,16900,16900,16900
244491,.,15850,15850,15850,15850
244561,.,14001,13894,13894,11181
244613,.,13978,13978,14804,14085
245069,.,14580,14580,16650,16650
245281,.,9600,9600,9600,9720
245290,.,11110,11110,11010,11010
245962,.,34020,34020,28200,28200
245980,.,8600,8600,10700,10700
245999,.,2760,2760,2760,3157
246017,.,3000,3130,3400,3834
246035,.,14200,17671,17671,17528
246071,.,10975,11675,11675,12075
246202,.,15577,15577,15577,15827
246266,.,14982,14982,14982,15132
246406,.,12392,14830,14830,14830
246415,.,15085,15415,16091,16500
246460,.,9000,9500,9500,9500
246895,.,8165,8225,9562,9221
246974,.,17671,17671,17603,17528
247010,.,15300,15500,15800,15950
247047,.,15150,15150,15150,15150
247409,.,15680,15680,15740,15740
248192,.,10100,10100,10360,10360
248305,.,16380,17130,17130,17136
248527,.,6975,6975,6975,6975
248606,.,1902,1992,2115,1837
248624,.,7968,9390,9390,9390
248633,.,12425,13100,13600,13700
248660,.,16300,16300,15300,15900
248703,.,16350,16650,16950,16950
248925,.,3477,3726,3855,3948
249140,.,15112,15112,15312,15312
249238,.,18500,18500,18500,18500
249566,.,6245,6345,6645,6645
250072,.,11000,11000,13350,13350
250601,.,49165,49165,49165,49055
250902,.,14450,14650,14650,15315
250993,.,2100,2200,2310,2310
251075,.,14585,14585,14585,14835
260336,.,9950,9950,9950,9950
260354,.,27200,28200,28200,28500
260363,.,16912,18553,18955,19139
260664,.,10400,10700,10700,10700
260691,.,11397,11734,12024,12380
260929,.,16850,17100,18100,18100
260965,.,17175,17175,16875,16775
261436,.,20600,19900,19900,19900
261676,.,15680,15680,15740,15740
261685,.,15680,15680,15740,15740
261719,.,16969,17644,18652,19500
261773,.,10900,12000,12000,12000
262341,.,18659,18659,18659,18659
262369,.,15085,15085,15573,15573
262402,.,6290,6290,6290,6290
