UNITID,EFTEUG,EFTEGD
176390,173,
176406,830,7
176451,,47
176479,2330,1192
176600,,73
176619,,107
176628,1327,343
176664,292,21
176716,157,
176770,643,60
176789,187,29
176798,196,
176910,244,
176947,1039,
176965,8582,3346
176983,95,
176992,21,
177038,79,2
177056,95,
177065,10429,538
177083,93,
177092,,295
177117,329,
177126,,431
177135,3396,
177144,1008,19
177214,2894,190
177250,2124,
177278,,111
177287,155,
177302,1270,
177339,1742,180
177418,984,453
177436,45,
177472,9511,
177542,871,68
177551,1264,
177579,588,
177588,37,
177603,58,
177676,3244,
177685,70,
177719,889,74
177746,632,
177816,47,65
177834,,1638
177870,15,
177931,47,
177940,2273,74
177968,7986,3003
177977,1343,
177986,34,57
177995,11368,
178004,190,
178059,2300,2899
178077,115,
178110,122,
178183,130,
178208,250,572
178217,2921,
178244,2079,683
178262,75,
178305,433,
178314,20,
178341,4611,37
178369,1439,14
178387,3957,144
178396,25999,4454
