UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
108667,1461,R,972,2859
108667,238,R,71,796
108807,1567,R,1896,8549
108807,1567,R,1896,8549
108807,1207,R,1790,6448
108807,360,R,106,2101
108852,0,A,0,303
108852,0,A,0,303
108852,0,A,0,303
108861,5,R,14,37
108861,5,R,14,37
108870,0,A,0,338
108870,0,A,0,338
108977,0,A,0,126
108977,0,A,0,126
109040,0,A,0,1315
109040,0,A,0,1315
109040,0,A,0,1315
109086,0,A,0,54
109086,0,A,0,18
109086,0,A,0,1
109086,0,A,0,17
109086,0,A,0,36
109208,3621,R,5110,21788
109208,3621,R,5110,21788
109208,3239,R,4935,19506
109208,382,R,175,2282
109350,585,R,1702,11818
109350,585,R,1702,11818
109350,458,R,1563,9956
109350,127,R,139,1862
109651,0,R,95,2043
109651,0,R,95,1813
109651,0,R,95,1802
109651,0,R,0,11
109651,0,R,0,230
109721,0,A,0,440
109721,0,A,0,440
109730,0,A,0,62
109730,0,A,0,62
109785,762,R,1360,7898
109785,190,R,858,4722
109785,190,R,858,4722
109785,572,R,502,3176
109819,1333,R,3103,18274
109819,1333,R,3103,18274
109819,1095,R,2931,14248
109819,238,R,172,4026
109907,1052,R,1102,1131
109907,1052,R,1102,1131
109907,946,R,1066,952
109907,106,R,36,179
109934,0,A,0,199
109934,0,A,0,199
110060,83,R,248,71
110060,68,R,188,37
110060,68,R,188,37
110060,15,R,60,34
110097,285,R,903,4907
110097,14,R,532,3545
110097,13,R,532,3538
110097,1,R,0,7
110097,271,R,371,1362
110194,0,R,8,29
110194,0,R,8,29
110219,1466,R,0,23
110219,1466,R,0,23
110219,1466,R,0,23
110246,583,R,1532,9185
110246,583,R,1532,9185
110246,504,R,1491,8415
110246,79,R,41,770
110307,0,A,0,278
110307,0,A,0,278
110316,104,R,155,1200
110316,0,R,0,70
110316,0,R,0,70
110316,104,R,155,1130
110334,972,R,2551,8455
110334,972,R,2551,8455
110334,848,R,2464,7356
110334,124,R,87,1099
110361,2066,R,2381,4710
110361,1582,R,2211,3144
110361,1570,R,2210,3124
110361,12,R,1,20
110361,484,R,170,1566
110370,18,R,0,1965
110370,0,A,0,1528
110370,0,A,0,1516
110370,0,A,0,12
110370,18,R,0,437
110398,32,R,38,937
110398,32,R,38,937
110404,0,A,0,2240
110404,0,A,0,979
110404,0,A,0,979
110404,0,A,0,1261
110413,171,R,208,3795
110413,7,R,167,2718
110413,7,R,167,2713
110413,0,Z,0,5
110413,164,R,41,1077
110422,14,R,878,20414
110422,3,R,868,19555
110422,3,R,867,19497
110422,0,R,1,58
110422,11,R,10,859
110468,533,R,156,3314
110468,205,R,12,1254
110468,205,R,12,156
110468,0,R,0,1098
110468,328,R,144,2060
110486,123,R,3501,5717
110486,108,R,3028,5043
110486,98,R,3028,5018
110486,10,R,0,25
110486,15,R,473,674
110495,109,R,3084,6569
110495,104,R,2919,5597
110495,97,R,2919,5594
110495,7,R,0,3
110495,5,R,165,972
110510,311,R,4881,15575
