UNITID,EFDEEXC,EFDESOM,EFDENON
109785,190,858,4722
109785,572,502,3176
109819,1333,3103,18274
109819,1333,3103,18274
109819,1095,2931,14248
109819,238,172,4026
109907,1052,1102,1131
109907,1052,1102,1131
109907,946,1066,952
109907,106,36,179
109934,,,199
109934,,,199
110060,0,0,403
110060,0,0,302
110060,0,0,299
110060,0,0,3
110060,0,0,101
110097,285,903,4907
110097,14,532,3545
110097,13,532,3538
110097,1,0,7
110097,271,371,1362
110194,0,8,29
110194,0,8,29
110219,1466,0,23
110219,1466,0,23
110219,1466,0,23
110246,583,1532,9185
110246,583,1532,9185
110246,504,1491,8415
110246,79,41,770
110307,,,278
110307,,,278
110316,104,155,1200
110316,0,0,70
110316,0,0,70
110316,104,155,1130
110334,972,2551,8455
110334,972,2551,8455
110334,848,2464,7356
110334,124,87,1099
110361,2066,2381,4710
110361,1582,2211,3144
110361,1570,2210,3124
110361,12,1,20
110361,484,170,1566
110370,18,0,1965
110370,,,1528
110370,,,1516
110370,,,12
110370,18,0,437
110398,32,38,937
110398,32,38,937
110404,,,2240
110404,,,979
110404,,,979
110404,,,1261
110413,171,208,3795
110413,7,167,2718
110413,7,167,2713
110413,0,0,5
110413,164,41,1077
110422,14,878,20414
110422,3,868,19555
110422,3,867,19497
110422,0,1,58
110422,11,10,859
110468,533,156,3314
110468,205,12,1254
110468,205,12,156
110468,0,0,1098
110468,328,144,2060
110486,123,3501,5717
110486,108,3028,5043
110486,98,3028,5018
110486,10,0,25
110486,15,473,674
110495,109,3084,6569
110495,104,2919,5597
110495,97,2919,5594
110495,7,0,3
110495,5,165,972
110510,311,4881,15575
110510,103,4311,14062
110510,85,4306,13926
110510,18,5,136
110510,208,570,1513
110529,96,7775,17455
110529,89,7508,16136
110529,87,7499,16025
110529,2,9,111
110529,7,267,1319
110538,406,4824,12327
110538,324,4532,11615
110538,320,4513,11472
110538,4,19,143
110538,82,292,712
110547,894,3494,10343
110547,559,3326,8800
110547,547,3325,8794
110547,12,1,6
110547,335,168,1543
110556,264,6632,17509
110556,151,6422,14957
110556,127,6421,14602
110556,24,1,355
110556,113,210,2552
110565,1829,10913,27493
110565,685,9956,23935
110565,608,9953,23855
110565,77,3,80
110565,1144,957,3558
110574,983,6930,7942
110574,918,6151,6338
110574,906,6143,6312
110574,12,8,26
110574,65,779,1604
110583,174,7329,30273
110583,115,6473,25757
110583,107,6459,25604
110583,8,14,153
110583,59,856,4516
110592,36,5362,22429
110592,34,5132,18908
110592,27,5131,18888
110592,7,1,20
110592,2,230,3521
110608,369,17015,22532
110608,295,16521,18940
110608,287,16445,18873
110608,8,76,67
110608,74,494,3592
110617,118,9968,20424
110617,117,9707,18127
110617,114,9699,18071
110617,3,8,56
110617,1,261,2297
110635,503,272,39379
110635,0,210,29100
110635,0,210,29099
110635,0,0,1
110635,503,62,10279
110644,0,239,36221
110644,0,237,29142
110644,0,220,29138
110644,0,17,4
110644,0,2,7079
110653,101,2337,30316
110653,11,2250,25070
110653,11,2250,25056
110653,0,0,14
110653,90,87,5246
110662,361,2076,41111
110662,21,2055,28797
110662,8,2054,28797
110662,13,1,0
110662,340,21,12314
110671,62,223,22430
110671,1,197,19601
110671,1,197,19590
110671,0,0,11
110671,61,26,2829
110680,,,34979
110680,,,28127
110680,,,28121
110680,,,6
110680,,,6852
110699,29,111,3005
110699,29,111,3005
110705,0,164,24182
110705,0,164,21410
110705,0,161,21409
110705,0,3,1
110705,0,0,2772
110714,0,803,17980
110714,0,803,16159
110714,0,803,16159
110714,,,1821
110778,146,0,147
110778,10,0,0
110778,9,0,0
110778,1,0,0
110778,136,0,147
110875,,,111
110875,,,111
110918,,,18
110918,,,18
110918,,,18
111009,,,163
111009,,,163
111009,,,162
111009,,,1
111054,,,214
111054,,,214
111081,,,1455
111081,,,959
111081,,,951
111081,,,8
111081,,,496
111188,0,0,1107
111188,0,0,1107
111188,0,0,1107
111391,95,18,637
111391,95,18,637
111434,948,778,4787
111434,948,778,4787
111434,774,715,3723
111434,174,63,1064
111461,1460,3748,14758
111461,1460,3748,14758
111461,1239,3638,13056
111461,221,110,1702
111513,,,149
111513,,,149
111638,0,211,15
111638,0,211,15
111638,0,211,15
111708,,,195
111708,,,195
111717,,,300
111717,,,300
111726,,,258
111726,,,258
111744,,,167
111744,,,167
111762,,,92
111762,,,92
111799,,,73
111799,,,73
111887,2062,3131,15786
111887,2062,3131,15786
111887,1910,3083,14575
111887,152,48,1211
111896,1888,995,2253
111896,1888,995,2253
111896,1547,932,1735
111896,341,63,518
111920,1666,2382,9694
111920,1666,2382,9694
111920,1498,2347,8753
111920,168,35,941
111939,711,1749,19542
111939,711,1749,19542
111939,566,1660,17115
111939,145,89,2427
111948,0,32,8510
111948,0,26,6384
111948,0,26,6312
111948,0,0,72
111948,0,6,2126
111966,0,0,459
111966,0,0,92
111966,0,0,88
111966,0,0,4
111966,,,367
112075,1362,936,2001
112075,125,555,1245
112075,121,553,1221
112075,4,2,24
112075,1237,381,756
112084,162,269,280
112084,162,253,280
112084,160,250,280
112084,2,3,0
112084,0,16,0
112127,6,30,44
112127,6,30,44
112172,778,2214,9761
112172,778,2214,9761
112172,638,2130,8639
112172,140,84,1122
112181,,,89
112181,,,89
112190,1229,2125,17835
112190,1229,2125,17835
112190,1090,2053,16105
112190,139,72,1730
112251,2,15,2021
112251,2,15,2021
112260,,,1347
112260,,,1347
112260,,,1344
112260,,,3
112288,,,393
112288,,,393
112367,,,695
112367,,,695
112367,,,695
112385,8265,962,1479
112385,8265,962,1479
112385,7211,925,928
112385,1054,37,551
112394,0,650,0
112394,0,650,0
112394,0,649,0
112394,0,1,0
112446,0,59,335
112446,0,58,277
112446,0,58,277
112446,0,1,58
112455,,,59
112455,,,59
112525,,,3839
112525,,,3839
112561,266,555,1599
112561,266,555,1599
112561,244,546,1496
112561,22,9,103
112570,,,367
112570,,,367
112570,,,367
112686,733,659,6100
112686,733,659,6100
112686,663,646,4905
112686,70,13,1195
112826,462,904,4974
112826,462,904,4974
112826,385,874,3835
112826,77,30,1139
113096,1583,1651,10776
113096,1583,1651,10776
113096,1433,1625,9943
113096,150,26,833
113111,429,908,4600
113111,429,908,4600
113111,366,853,3839
113111,63,55,761
113193,1009,1487,7736
113193,1009,1487,7736
113193,857,1449,5449
113193,152,38,2287
113218,1570,1411,6757
113218,1570,1411,6757
113218,1384,1359,5306
113218,186,52,1451
113236,1396,2966,11579
113236,1396,2966,11579
113236,1216,2924,10742
113236,180,42,837
113333,1355,6852,13236
113333,1355,6852,13236
113333,941,6530,11435
113333,414,322,1801
113449,,,172
113449,,,172
113537,,,47
113537,,,19
113537,,,19
113537,,,28
113573,642,2086,8064
113573,642,2086,8064
113573,501,1999,7103
113573,141,87,961
113582,,,143
113582,,,143
113582,,,143
113634,1716,3554,14149
113634,1716,3554,14149
113634,1458,3460,12803
113634,258,94,1346
113698,,,1835
113698,,,1388
113698,,,1374
113698,,,14
113698,,,447
113704,0,2,56
113704,0,2,56
113856,1083,2163,33724
113856,1083,2163,33724
113856,948,2113,28609
113856,135,50,5115
113980,1230,2462,20341
113980,1230,2462,20341
113980,1087,2427,18129
113980,143,35,2212
114044,,,453
114044,,,453
114114,,,232
114114,,,232
114123,,,457
114123,,,361
114123,,,361
114123,,,96
114266,474,908,7710
114266,474,908,7710
114266,364,868,6232
114266,110,40,1478
114354,111,435,2078
114354,111,435,2078
114354,111,435,2078
114390,8,66,258
114390,8,66,258
114390,8,66,258
114415,0,2,101
114415,0,2,101
114415,0,2,101
114433,503,187,1283
114433,503,187,1283
114433,498,185,730
114433,5,2,553
114460,,,270
114460,,,270
114549,106,902,38
114549,106,902,38
114585,,,336
114585,,,336
114628,,,14
114628,,,14
114637,,,16
114637,,,16
114716,4162,2996,8211
114716,4162,2996,8211
114716,3806,2878,7282
114716,356,118,929
114734,,,40
114734,,,40
114761,,,61
114761,,,61
114789,1408,2066,19451
114789,1408,2066,19451
114789,1133,1902,16475
114789,275,164,2976
114813,369,1029,2166
114813,173,733,1525
114813,172,731,1518
114813,1,2,7
114813,196,296,641
114840,787,386,1262
114840,787,386,1262
114859,1536,3091,19446
114859,1536,3091,19446
114859,1305,2976,17752
114859,231,115,1694
114938,280,1248,4319
114938,280,1248,4319
114938,246,1146,3490
114938,34,102,829
114947,,,302
114947,,,302
115001,532,2363,12283
115001,532,2363,12283
115001,466,2291,11013
115001,66,72,1270
115010,0,0,265
115010,0,0,265
115010,0,0,265
115083,868,689,1099
115083,228,198,19
115083,227,198,19
115083,1,0,0
115083,640,491,1080
115126,1390,2542,7925
115126,1390,2542,7925
115126,1246,2505,7236
115126,144,37,689
115214,2,6,179
115214,2,6,179
115296,2070,3339,13089
115296,2070,3339,13089
115296,1805,3236,11589
115296,265,103,1500
115357,,,63
115357,,,63
115393,376,1163,10789
115393,376,1163,10789
115393,326,1142,10005
115393,50,21,784
115409,,,842
115409,,,842
115409,,,829
115409,,,13
115658,,,124
115658,,,124
115728,0,16,850
115728,0,0,526
115728,0,0,515
115728,0,0,11
115728,0,16,324
115746,,,923
115746,,,923
115755,115,1886,6502
115755,89,1751,6142
115755,81,1749,6126
115755,8,2,16
115755,26,135,360
115773,0,132,348
115773,0,111,281
115773,0,111,281
115773,0,21,67
115861,140,1079,6605
115861,140,1079,6605
115861,127,1052,5694
115861,13,27,911
115931,,,441
115931,,,441
115931,,,441
116226,,,229
116226,,,229
116226,,,225
116226,,,4
116350,,,276
116350,,,276
116439,1566,3168,9413
116439,1566,3168,9413
116439,1237,3010,8034
116439,329,158,1379
116563,,,173
116563,,,173
116712,97,214,643
116712,11,64,61
116712,11,64,61
116712,86,150,582
116846,,,159
116846,,,65
116846,,,63
116846,,,2
116846,,,94
117052,1085,1120,7847
117052,1085,1120,7847
117052,853,1015,6031
117052,232,105,1816
117104,122,147,358
117104,98,110,358
117104,69,110,355
117104,29,0,3
117104,24,37,0
117113,0,610,509
117113,0,610,509
117113,0,610,508
117113,0,0,1
117140,857,1326,6186
117140,410,550,4499
117140,404,541,4422
117140,6,9,77
117140,447,776,1687
117168,0,75,543
117168,0,63,504
117168,0,63,504
117168,0,12,39
117195,606,362,1084
117195,606,362,1084
117195,484,339,973
117195,122,23,111
117238,,,142
117238,,,142
117247,886,1136,8906
117247,886,1136,8906
117247,750,1114,7618
117247,136,22,1288
117274,108,284,1835
117274,108,284,1835
117274,108,270,1570
117274,0,14,265
117520,0,0,634
117520,0,0,634
117557,,,792
117557,,,138
117557,,,138
117557,,,654
117575,97,47,100
117575,25,20,32
117575,24,20,32
117575,1,0,0
117575,72,27,68
117627,0,2384,0
117627,0,1963,0
117627,0,1898,0
117627,0,65,0
117627,0,421,0
117636,253,457,3734
117636,151,248,758
117636,131,247,660
117636,20,1,98
117636,102,209,2976
117645,1285,4028,19391
117645,1285,4028,19391
117645,1140,3959,18103
117645,145,69,1288
117672,0,61,874
117672,0,0,418
117672,0,0,73
117672,0,0,345
117672,0,61,456
117690,1043,1241,7116
117690,1043,1241,7116
117690,918,1182,5900
117690,125,59,1216
117706,872,1589,18157
117706,872,1589,18157
117706,721,1555,15823
117706,151,34,2334
117715,717,794,5144
117715,717,794,5144
117715,636,745,4310
117715,81,49,834
117724,199,509,13898
117724,199,509,13898
117724,146,496,11413
117724,53,13,2485
117733,1916,2232,14495
117733,1916,2232,14495
117733,1668,2181,12354
117733,248,51,2141
117751,424,129,1342
117751,325,100,944
117751,159,100,896
117751,166,0,48
117751,99,29,398
117788,2253,1759,13649
117788,2253,1759,13649
117788,1920,1727,10591
117788,333,32,3058
117803,,,200
117803,,,200
117803,,,200
117867,1165,1209,8062
117867,1165,1209,8062
117867,950,1160,6400
117867,215,49,1662
117894,365,1047,7316
117894,365,1047,7316
117894,317,1029,6560
117894,48,18,756
117928,0,396,234
117928,0,396,234
117928,0,396,233
117928,0,0,1
117946,37,207,9086
117946,0,51,6210
117946,0,51,6075
117946,0,0,135
117946,37,156,2876
117955,,,201
117955,,,201
118134,,,68
118134,,,68
118143,,,60
118143,,,60
118161,,,139
118161,,,139
118189,,,106
118189,,,106
118198,0,8,790
118198,0,8,790
118198,0,8,790
118259,,,224
118259,,,224
118259,,,224
118277,,,654
118277,,,654
118277,,,652
118277,,,2
118286,,,397
118286,,,397
118286,,,395
118286,,,2
118347,105,291,5225
118347,105,291,5225
118347,97,281,4104
118347,8,10,1121
118541,45,367,573
118541,32,346,564
118541,32,346,564
118541,13,21,9
118684,641,782,2815
118684,641,782,2815
118684,517,732,1936
118684,124,50,879
118693,,,790
118693,,,790
118693,,,787
118693,,,3
118718,421,1671,8658
118718,421,1671,8658
118718,351,1597,7530
118718,70,74,1128
118772,1028,783,4972
118772,1028,783,4972
118772,820,770,4237
118772,208,13,735
118888,,,1345
118888,,,821
118888,,,819
118888,,,2
118888,,,524
118912,2676,3951,8174
118912,2676,3951,8174
118912,2320,3896,7689
118912,356,55,485
118930,1149,1436,5283
118930,1149,1436,5283
118930,950,1297,4076
118930,199,139,1207
118958,,,46
118958,,,46
118967,,,486
118967,,,486
118967,,,485
118967,,,1
118976,2142,4179,11363
118976,2142,4179,11363
118976,1958,4110,10484
118976,184,69,879
118994,,,169
118994,,,169
119058,,,786
119058,,,20
119058,,,20
119058,,,766
119067,577,1364,5874
119067,577,1364,5874
119067,498,1324,5395
119067,79,40,479
119137,1067,2222,10721
119137,1067,2222,10721
119137,957,2200,10101
119137,110,22,620
119164,513,1906,27027
119164,513,1906,27027
119164,438,1830,24327
119164,75,76,2700
119173,168,772,2556
119173,160,757,1914
119173,149,736,1894
119173,11,21,20
119173,8,15,642
119216,1946,3819,9732
119216,1946,3819,9732
119216,1785,3723,8995
119216,161,96,737
119270,9,0,1010
119270,9,0,1010
