UNITID,F3A01,F3B04,F3B06,F3B08,F3C03,F3C03A,F3C03B,F3C04,F3C06,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D04,F3D12,F3E02A1,F3E02A2
105659,28024736,1532936,25201743,25246333,4573,0,4573,341409,341409,10125481,0,0,0,0,0,0,0,0,,0,0
105677,,,,,0,0,0,0,0,612649,0,0,0,0,0,0,0,0,,0,0
105701,,,,,0,0,0,0,178128,189541,0,0,0,0,0,0,0,0,,0,0
105987,,,,,0,0,0,0,0,3395896,0,0,0,0,0,0,0,0,,0,0
106041,89876000,-5029000,4956000,45708000,0,0,0,1350000,1350000,40288000,0,0,0,0,0,0,0,0,,0,0
106102,10341180,-6860567,10740929,7883362,2748,2748,0,297764,297764,6765836,0,0,0,0,0,0,0,0,0,0,0
106111,,,,,38985,38985,0,13825,0,1233581,0,0,0,0,0,0,0,0,,0,0
106315,,,,,0,0,0,0,0,616856,244747,0,244747,0,0,0,0,0,,0,0
106324,,,,,0,0,0,0,0,233449,0,0,0,0,0,0,0,0,,0,0
106351,,,,,0,0,0,0,0,2067069,0,0,0,0,0,0,0,0,,0,0
106360,,,,,6149,6149,0,0,0,261073,0,0,0,0,0,0,0,0,,0,0
106494,,,,,16307,16307,0,0,0,1290216,0,0,0,0,0,0,0,0,,0,0
106892,,,,,0,0,0,0,0,2195641,0,0,0,0,0,0,0,0,,0,0
106908,,,,,67288,67288,0,0,0,3185950,1316237,0,1316237,0,0,0,0,0,,0,0
