UNITID,TUITION1,TUITION2
175272,7103,7103
175281,.,.
175315,4770,4770
175342,5269,5269
175421,22726,22726
175430,9518,9518
175519,2450,2450
175528,15980,15980
175573,2390,2390
175616,6298,6298
175643,2080,2080
175652,2400,2400
175786,2640,2640
175810,2230,2230
175829,2500,2500
175856,7141,7141
175883,2920,2920
175935,2300,2300
175980,34810,34810
176008,2620,2620
176017,7644,7644
176035,5965,5965
176044,6096,6096
176053,15800,15800
176071,2800,2800
176080,7780,7780
176169,2500,2500
176178,2800,2800
176239,2850,2850
176318,9500,9500
176336,4700,4700
176354,2480,2480
176372,7549,7549
176406,10130,10130
176451,.,.
176479,10800,10800
176600,.,.
176619,.,.
176628,26230,26230
176664,9936,9936
176770,9600,9600
176789,10500,10500
176910,7500,7500
176947,22280,22280
176965,6446,6446
177038,14400,14400
177065,7887,7887
177083,20506,20506
177092,.,.
177117,18400,18400
177126,.,.
177135,1968,3072
177144,24990,24990
177214,24750,24750
177250,1824,2664
177278,.,.
177339,20874,20874
177418,24250,24250
177436,15000,15000
177472,2352,3564
177542,20610,20610
177551,4776,4776
177579,13880,13880
177676,2328,3504
177719,18148,18148
177746,36300,36300
177816,19650,19650
177834,.,.
177870,3850,3850
177940,6150,6150
177968,15672,15672
177977,4793,4793
177986,6600,6600
177995,2700,5100
178004,8954,8954
178059,25558,25558
178110,11250,11250
178208,7020,7020
178217,3060,4200
178244,23720,23720
178305,11736,11736
178341,5311,5311
178369,18500,18500
178387,5538,5538
178396,8286,8286
178402,8169,8169
178411,8286,8286
178420,10065,10065
178448,2580,4230
178518,.,.
178615,7152,7152
178624,4335,4335
178679,11360,11360
