UNITID,LEXPTOT
194028,207645
194073,300200
194091,4851945
194116,361441
194161,770929
194189,
194222,1143248
194240,1448155
194310,7283261
194392,514019
194499,587196
194569,
194578,3529589
194657,
194666,
194693,
194736,
194763,
194824,4178933
194958,993913
195003,6146552
195030,25002048
195049,2667000
195058,1217314
195128,1398101
195155,
195164,885985
195173,1083162
195191,159245
195216,3603063
195234,1541095
195243,556306
195289,108013
195304,1484040
195322,634238
195438,
195474,1735711
195526,3012039
195544,1894220
195580,171277
195702,
195720,2143040
195784,
195809,10443129
195845,
195988,294400
196006,552745
196015,529199
196024,576263
196033,737577
196042,1445713
196051,549873
196060,13054033
196079,11596084
196088,20605760
196097,15746270
196103,1231505
196112,521800
196121,2686257
196130,3099665
196149,2963627
196158,1526124
196167,2448356
196176,3012007
196185,2422704
196194,2700697
196200,1607324
196219,1901880
196228,613947
196237,1073602
196246,2307435
196255,3131576
196264,786050
196291,601465
196307,4059486
196389,113274
196413,26890179
196431,
196440,
196468,5812204
196477,302657
196565,650221
196583,
196592,7590946
196653,317960
196680,1808064
196699,616541
196866,4516542
197018,
197027,752079
197036,2658593
197045,1449584
197133,5682507
197142,158694
197151,1881026
197197,816987
197221,209780
197230,457604
197285,123135
197294,1798975
197522,
197601,
197610,
197647,
197674,
197692,
197708,6736337
197735,
197744,
197814,407362
197832,106473
197850,411355
197869,10869452
197887,553215
197911,131594
197966,324661
197984,537235
197993,197097
198011,246084
198039,301604
198066,303646
198084,187088
198109,136919
198118,489572
198136,4860652
198154,1115417
198206,284968
198215,513981
198233,361455
198251,731903
198260,2282304
198303,722018
198321,614079
198330,440974
198367,255124
198376,286997
198385,3451075
198419,48954435
198455,601216
198464,16229191
198491,372181
198507,1134458
198516,3515707
198534,732082
198543,2728748
198552,799112
198561,1233450
198570,605699
198598,223464
198613,772624
198622,824472
198640,198136
198668,253677
198677,
198695,1279000
198710,311297
198729,155699
198747,
198756,677077
198774,293642
198808,178267
198817,170393
198835,917696
198862,242949
198871,187856
198899,497234
198905,141145
198914,214126
198923,178566
198950,1314052
198969,1127782
198978,
198987,156974
199023,154530
199032,269067
199069,619741
199087,271755
199102,5729858
199111,1896737
199120,45123272
199139,11875179
199148,11404747
199157,3653389
199184,1229465
199193,30061683
199209,397425
199218,6709615
199263,213410
199272,233100
199281,2696420
199306,399462
199324,233412
199333,831341
199412,557135
199421,341569
199449,313285
199458,131550
199467,291363
199476,271322
199485,205103
199494,706035
199582,231123
199607,494957
199625,233174
199634,514712
199643,477055
199698,251836
199722,285218
199731,193840
199740,269329
199759,1134309
199768,369060
199786,513902
199795,242565
199838,428504
199847,19831026
199856,1577848
199865,845716
199892,219870
199908,191524
199926,292351
199953,259531
199962,636270
199971,
199999,3027609
200004,5202547
200022,634299
200059,628244
200086,142936
200156,613319
200192,146330
200208,127275
200217,495930
200226,393418
200253,832445
200280,7865070
200305,366686
200314,
200332,6523247
200341,
200466,153880
200484,106958
200527,113902
200554,
200572,499825
200590,
200624,
200633,
200785,
200800,8004235
200846,300589
200873,
201016,
201104,776957
201140,273204
201177,212000
201195,1303762
201283,195825
201371,542277
201399,
201432,214404
201441,7237123
201469,
201548,2059958
201645,16332824
201654,1832861
201690,764073
201751,
201821,654488
201858,374241
201867,
201885,20540984
201928,758089
201946,433119
201955,530504
201964,296360
201973,353230
202046,313842
202073,468198
202134,5036223
202161,
202170,519485
202222,1666271
202356,5931415
202435,
202480,7056897
202514,226546
202523,3743231
202648,261420
202684,
202763,925554
202806,654492
202903,
202912,829866
203067,2121958
203085,311275
203128,723696
203155,263336
203289,
203331,281592
203368,2559650
203386,
203447,203356
203456,147860
203465,667711
203474,358045
203483,263948
203492,109061
203517,14008089
203526,155443
203535,3167070
203544,583340
203580,181642
203599,1101178
203720,
203739,
203748,1400764
203757,393062
203775,515284
203845,849847
203960,271121
203997,286501
204006,519115
204015,457905
204024,10598537
204060,
204176,1028916
204185,1402390
204194,320024
204200,635551
204255,332211
204264,603525
204316,
204440,231700
204468,288763
204477,1100552
204486,313623
204501,7444432
204608,
204617,672428
204626,
204635,2387394
204662,214375
204671,339769
204680,202804
204699,299546
204705,470255
204796,36554707
204857,14685271
204884,
204909,1819948
204936,1455376
204945,728850
204990,119795
205027,355519
205124,
205179,
205203,345229
205391,
205443,1240040
205470,1099526
205513,
205522,
205559,
205610,
205647,
205841,398241
205887,
205957,710292
205966,540055
206011,290764
206048,345339
206084,8189182
206154,
206215,392362
206224,
206279,672456
206288,348944
206330,164368
206349,656034
206394,
206437,756848
206446,138315
206491,187500
206507,427903
206516,
206525,1410133
206589,2446153
206604,9379394
206613,
206622,2596971
206695,2975489
206817,129649
206835,
206862,530362
206914,1318902
206923,202315
206941,4356250
206996,314147
207041,1308804
207050,
207069,149383
207157,
207209,864587
207236,172621
207254,120621
207263,2735386
207281,301100
207290,237596
207306,641932
