UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
112181,2,154,R,4,150
112190,1,34986,R,16002,18984
112190,2,34986,R,16002,18984
112251,1,2329,R,1061,1268
112251,4,2329,R,1061,1268
112260,1,1380,R,721,659
112260,2,1359,R,703,656
112260,4,21,R,18,3
112288,1,673,R,74,599
112288,2,673,R,74,599
112367,1,808,R,96,712
112367,2,808,R,96,712
112385,1,20723,R,11972,8751
112385,2,20723,R,11972,8751
112394,1,716,R,528,188
112394,2,716,R,528,188
112446,1,665,R,560,105
112446,2,516,R,464,52
112446,4,149,R,96,53
112455,1,65,R,3,62
112455,2,65,R,3,62
112525,1,3927,R,1545,2382
112525,4,3927,R,1545,2382
112561,1,3599,R,1585,2014
112561,2,3599,R,1585,2014
112570,1,388,R,215,173
112570,2,388,R,215,173
112686,1,11602,R,4354,7248
112686,2,11602,R,4354,7248
112826,1,9770,R,3989,5781
112826,2,9770,R,3989,5781
113096,1,20517,R,8924,11593
113096,2,20517,R,8924,11593
113111,1,8180,R,3760,4420
113111,2,8180,R,3760,4420
113193,1,14529,R,6919,7610
113193,2,14529,R,6919,7610
113218,1,13617,R,6137,7480
113218,2,13617,R,6137,7480
113236,1,21790,R,9685,12105
113236,2,21790,R,9685,12105
113333,1,32673,R,16510,16163
113333,2,32673,R,16510,16163
113449,1,307,R,115,192
113449,2,307,R,115,192
113537,1,41,R,23,18
113537,2,17,R,10,7
113537,4,24,R,13,11
113573,1,13300,R,6029,7271
113573,2,13300,R,6029,7271
113582,1,218,R,16,202
113582,2,218,R,16,202
113634,1,29944,R,14368,15576
113634,2,29944,R,14368,15576
113698,1,2151,R,582,1569
113698,2,1566,R,428,1138
113698,4,585,R,154,431
113704,1,74,R,63,11
113704,4,74,R,63,11
113856,1,53984,R,27183,26801
113856,2,53984,R,27183,26801
113980,1,32068,R,15259,16809
113980,2,32068,R,15259,16809
114044,1,745,R,54,691
114044,2,745,R,54,691
114114,1,247,R,62,185
114114,4,247,R,62,185
114123,1,733,R,173,560
114123,2,600,R,110,490
114123,4,133,R,63,70
114266,1,13865,R,6245,7620
114266,2,13865,R,6245,7620
114354,1,3821,R,432,3389
114354,2,3821,R,432,3389
114390,1,503,R,46,457
114390,2,503,R,46,457
114415,1,121,R,4,117
114415,2,121,R,4,117
114433,1,3643,R,1870,1773
114433,2,3643,R,1870,1773
114460,1,424,R,71,353
114460,2,424,R,71,353
114549,1,1466,R,377,1089
114549,4,1466,R,377,1089
114585,1,493,R,154,339
114585,4,493,R,154,339
114628,1,9,R,3,6
114628,2,9,R,3,6
114637,1,62,R,11,51
114637,2,62,R,11,51
114716,1,29646,R,14846,14800
114716,2,29646,R,14846,14800
114734,1,54,R,29,25
114734,4,54,R,29,25
114761,1,96,R,5,91
114761,2,96,R,5,91
114789,1,33116,R,15830,17286
114789,2,33116,R,15830,17286
114813,1,4544,R,1369,3175
114813,2,3019,R,928,2091
114813,4,1525,R,441,1084
114840,1,3888,R,2379,1509
114840,4,3888,R,2379,1509
114859,1,33519,R,16092,17427
114859,2,33519,R,16092,17427
114938,1,10495,R,6126,4369
114938,2,10495,R,6126,4369
114947,1,500,R,237,263
114947,2,500,R,237,263
115001,1,21491,R,10084,11407
115001,2,21491,R,10084,11407
115010,1,574,R,168,406
115010,2,574,R,168,406
115083,1,3601,R,1608,1993
115083,2,605,R,299,306
115083,4,2996,R,1309,1687
115126,1,17710,R,8135,9575
115126,2,17710,R,8135,9575
115214,1,238,R,141,97
115214,4,238,R,141,97
115296,1,25153,R,10824,14329
115296,2,25153,R,10824,14329
115357,1,85,R,11,74
115357,2,85,R,11,74
115393,1,17166,R,9736,7430
115393,2,17166,R,9736,7430
115409,1,831,R,449,382
115409,2,831,R,449,382
115658,1,193,R,17,176
115658,2,193,R,17,176
115728,1,1231,R,354,877
115728,2,747,R,257,490
115728,4,484,R,97,387
115746,1,1070,R,267,803
115746,4,1070,R,267,803
115755,1,9259,R,4087,5172
