UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
111887,2,27908,12761,15147
111896,1,8198,3021,5177
111896,2,8198,3021,5177
111920,1,19599,9059,10540
111920,2,19599,9059,10540
111939,1,27430,11528,15902
111939,2,27430,11528,15902
111948,1,8833,3551,5282
111948,2,6649,2673,3976
111948,4,2184,878,1306
111966,1,737,214,523
111966,2,115,62,53
111966,4,622,152,470
112075,1,6196,2673,3523
112075,2,2230,854,1376
112075,4,3966,1819,2147
112084,1,1084,483,601
112084,2,1077,482,595
112084,4,7,1,6
112127,1,86,43,43
112127,4,86,43,43
112172,1,17908,8372,9536
112172,2,17908,8372,9536
112181,1,154,4,150
112181,2,154,4,150
112190,1,34986,16002,18984
112190,2,34986,16002,18984
112251,1,2329,1061,1268
112251,4,2329,1061,1268
112260,1,1380,721,659
112260,2,1359,703,656
112260,4,21,18,3
112288,1,673,74,599
112288,2,673,74,599
112367,1,808,96,712
112367,2,808,96,712
112385,1,20723,11972,8751
112385,2,20723,11972,8751
112394,1,716,528,188
112394,2,716,528,188
112446,1,665,560,105
112446,2,516,464,52
112446,4,149,96,53
112455,1,65,3,62
112455,2,65,3,62
112525,1,3927,1545,2382
112525,4,3927,1545,2382
112561,1,3599,1585,2014
112561,2,3599,1585,2014
112570,1,388,215,173
112570,2,388,215,173
112686,1,11602,4354,7248
112686,2,11602,4354,7248
112826,1,9770,3989,5781
112826,2,9770,3989,5781
113096,1,20517,8924,11593
113096,2,20517,8924,11593
113111,1,8180,3760,4420
113111,2,8180,3760,4420
113193,1,14529,6919,7610
113193,2,14529,6919,7610
113218,1,13617,6137,7480
113218,2,13617,6137,7480
113236,1,21790,9685,12105
113236,2,21790,9685,12105
113333,1,32673,16510,16163
113333,2,32673,16510,16163
113449,1,307,115,192
113449,2,307,115,192
113537,1,41,23,18
113537,2,17,10,7
113537,4,24,13,11
113573,1,13300,6029,7271
113573,2,13300,6029,7271
113582,1,218,16,202
113582,2,218,16,202
113634,1,29944,14368,15576
113634,2,29944,14368,15576
113698,1,2151,582,1569
113698,2,1566,428,1138
113698,4,585,154,431
113704,1,74,63,11
113704,4,74,63,11
113856,1,53984,27183,26801
113856,2,53984,27183,26801
113980,1,32068,15259,16809
113980,2,32068,15259,16809
114044,1,745,54,691
114044,2,745,54,691
114114,1,247,62,185
114114,4,247,62,185
114123,1,733,173,560
114123,2,600,110,490
114123,4,133,63,70
114266,1,13865,6245,7620
114266,2,13865,6245,7620
114354,1,3821,432,3389
114354,2,3821,432,3389
114390,1,503,46,457
114390,2,503,46,457
114415,1,121,4,117
114415,2,121,4,117
114433,1,3643,1870,1773
114433,2,3643,1870,1773
114460,1,424,71,353
114460,2,424,71,353
114549,1,1466,377,1089
114549,4,1466,377,1089
114585,1,493,154,339
114585,4,493,154,339
114628,1,9,3,6
114628,2,9,3,6
114637,1,62,11,51
114637,2,62,11,51
114716,1,29646,14846,14800
114716,2,29646,14846,14800
114734,1,54,29,25
114734,4,54,29,25
114761,1,96,5,91
114761,2,96,5,91
114789,1,33116,15830,17286
114789,2,33116,15830,17286
114813,1,4544,1369,3175
114813,2,3019,928,2091
114813,4,1525,441,1084
114840,1,3888,2379,1509
114840,4,3888,2379,1509
114859,1,33519,16092,17427
114859,2,33519,16092,17427
114938,1,10495,6126,4369
114938,2,10495,6126,4369
114947,1,500,237,263
114947,2,500,237,263
115001,1,21491,10084,11407
115001,2,21491,10084,11407
115010,1,574,168,406
115010,2,574,168,406
115083,1,3601,1608,1993
115083,2,605,299,306
115083,4,2996,1309,1687
115126,1,17710,8135,9575
115126,2,17710,8135,9575
115214,1,238,141,97
115214,4,238,141,97
115296,1,25153,10824,14329
115296,2,25153,10824,14329
115357,1,85,11,74
115357,2,85,11,74
115393,1,17166,9736,7430
115393,2,17166,9736,7430
115409,1,831,449,382
115409,2,831,449,382
115658,1,193,17,176
115658,2,193,17,176
115728,1,1231,354,877
115728,2,747,257,490
115728,4,484,97,387
115746,1,1070,267,803
115746,4,1070,267,803
115755,1,9259,4087,5172
115755,2,8686,3875,4811
115755,4,573,212,361
115773,1,938,267,671
115773,2,753,213,540
115773,4,185,54,131
115861,1,9916,4278,5638
115861,2,9916,4278,5638
115931,1,693,484,209
115931,2,693,484,209
116226,1,283,22,261
116226,2,280,20,260
116226,4,3,2,1
116350,1,426,57,369
116350,2,426,57,369
116439,1,19473,9467,10006
116439,2,19473,9467,10006
116563,1,226,4,222
116563,2,226,4,222
116712,1,1220,309,911
116712,2,229,70,159
116712,4,991,239,752
116846,1,188,90,98
116846,2,79,39,40
116846,4,109,51,58
117052,1,16076,6373,9703
117052,2,16076,6373,9703
117104,1,686,319,367
117104,2,604,270,334
117104,4,82,49,33
117113,1,1957,1108,849
117113,2,1957,1108,849
117140,1,10450,4174,6276
117140,2,6674,2866,3808
117140,4,3776,1308,2468
117168,1,653,255,398
117168,2,611,240,371
117168,4,42,15,27
117195,1,6046,3310,2736
117195,2,6046,3310,2736
117238,1,208,44,164
117238,2,208,44,164
117247,1,19236,8525,10711
117247,2,19236,8525,10711
117274,1,4484,3551,933
117274,2,4484,3551,933
117520,1,672,380,292
117520,4,672,380,292
117548,1,290,139,151
117548,4,290,139,151
117557,1,1059,629,430
117557,2,252,134,118
117557,4,807,495,312
117575,1,345,214,131
117575,2,98,70,28
117575,4,247,144,103
117627,1,3094,1285,1809
117627,2,2405,1001,1404
117627,4,689,284,405
117636,1,5392,1966,3426
117636,2,1666,468,1198
117636,4,3726,1498,2228
117645,1,32506,14702,17804
117645,2,32506,14702,17804
117672,1,1622,650,972
117672,2,1067,328,739
117672,4,555,322,233
117690,1,13780,5583,8197
117690,2,13780,5583,8197
117706,1,29890,13521,16369
117706,2,29890,13521,16369
117715,1,10789,3373,7416
117715,2,10789,3373,7416
117724,1,22401,11791,10610
117724,2,22401,11791,10610
117733,1,27113,11586,15527
117733,2,27113,11586,15527
117751,1,2124,1346,778
117751,2,1427,748,679
117751,4,697,598,99
117788,1,29637,12610,17027
117788,2,29637,12610,17027
117803,1,262,63,199
117803,2,262,63,199
117867,1,14701,5790,8911
117867,2,14701,5790,8911
117894,1,12681,5767,6914
117894,2,12681,5767,6914
117928,1,1120,609,511
117928,2,1115,605,510
117928,4,5,4,1
117946,1,10363,4275,6088
117946,2,6624,2883,3741
117946,4,3739,1392,2347
117955,1,437,104,333
117955,2,437,104,333
118134,1,118,6,112
118134,2,118,6,112
118143,1,101,4,97
118143,2,101,4,97
118161,1,205,11,194
118161,2,205,11,194
118189,1,134,4,130
118189,2,134,4,130
118198,1,1267,337,930
118198,2,1267,337,930
118259,1,809,115,694
118259,2,809,115,694
118277,1,1756,392,1364
118277,2,1756,392,1364
118286,1,1216,277,939
118286,2,1216,277,939
